run_name,model_name,lr,num_seeds,best_epoch_mean,best_epoch_std,val_loss_mean,val_loss_std,val_top1_accuracy_mean,val_top1_accuracy_std,val_macro_accuracy_mean,val_macro_accuracy_std,val_top5_accuracy_mean,val_top5_accuracy_std,test_loss_mean,test_loss_std,test_top1_accuracy_mean,test_top1_accuracy_std,test_macro_accuracy_mean,test_macro_accuracy_std,test_top5_accuracy_mean,test_top5_accuracy_std
mot_huge-large_1d-bs.512-ep.300,mot_huge_1d,0.3,3,38.0,3.0,0.7971356583370989,0.0036312311713831724,0.8247291268323773,0.00022078404175512588,0.8229096531867981,0.000302386317711413,0.9235181644359465,0.0006623521252653777,0.7688770532547227,0.004167088738291027,0.824534557510839,0.0011687262675225702,0.81255970398585,0.002169311242580252,0.9227237949502678,0.0006626055116942798
mot_huge-large_1d-bs.512-ep.300,mot_huge_1d,1.0,3,41.666666666666664,8.504900548115382,1.4210816550513146,0.011865201145139472,0.8105799872530274,0.0014477777809561003,0.8103921810785929,0.0019904325262903033,0.9221159974506055,0.0007960481833522266,1.3636753828481156,0.03221454033709861,0.8096148941596532,0.0007963527159395933,0.7976354757944742,0.0009510169077805117,0.924764090793165,0.0011687262675225097
mot_huge_1d-bs.512-ep.300,mot_huge_1d,0.001,3,48.0,1.7320508075688772,2.742878512108379,0.003933139775418467,0.5762906309751434,0.002326104218087324,0.5581293900807699,0.0027924980350186256,0.8010197578075207,0.00342749003435275,2.761125083481648,0.0035957491288587467,0.5730680948737567,0.0055172934590114265,0.5467499494552612,0.005412894097221343,0.8004335628666157,0.003533896062369556
mot_huge_1d-bs.512-ep.300,mot_huge_1d,0.003,3,44.0,1.7320508075688772,1.7309478079003844,0.002113561734717852,0.7275971956660293,0.0018071952681654596,0.7190593282381693,0.0015979930967657168,0.8781389420012747,0.0013429768964757665,1.7541155290980632,0.002476488905655034,0.7186942106605457,0.002106951242267026,0.7007093628247579,0.001581557192561819,0.8699311400153023,0.0
mot_huge_1d-bs.512-ep.300,mot_huge_1d,0.01,3,40.333333333333336,4.509249752822894,1.0509693617422615,0.007365727149146565,0.8105799872530274,0.002106145524774803,0.8043328722318014,0.00265239607772239,0.9121733588272786,0.0011039202087756294,1.0780859205133602,0.006656189588502675,0.8008161183371589,0.0011043425194904662,0.7873308261235555,0.0011608046795625812,0.9071665391481765,0.0005843631337613155
mot_huge_1d-bs.512-ep.300,mot_huge_1d,0.03,3,34.333333333333336,3.0550504633038935,0.753649164203476,0.007298225894735123,0.8509878903760357,0.0005841396679357636,0.8459638953208923,0.0003891794028611969,0.9292543021032504,0.000382409177820231,0.7762736996896593,0.00734239834202111,0.8423871461361897,0.003036439913234047,0.8304405411084493,0.0026119292962500556,0.9242540168324407,0.0007651109410864443
mot_huge_1d-bs.512-ep.300,mot_huge_1d,0.1,3,35.0,6.244997998398398,0.587977829976322,0.005153148064961523,0.8726577437858508,0.0006623521252653135,0.8701421221097311,0.00030987588271173225,0.938687061822817,0.00044156808351025176,0.5966237658476592,0.006237130146314991,0.8635552155062485,0.0005843631337612549,0.8534222443898519,0.0007466756482790134,0.9422341239479725,0.0007651109410864443
mot_huge_1d-bs.512-ep.300,mot_huge_1d,0.3,3,37.0,7.54983443527075,0.5424341189625767,0.0028801381919445527,0.8782664117272148,0.0007960481833522887,0.8771296540896097,0.0008137040685840729,0.9465901848311026,0.0007960481833522443,0.5405395004828953,0.0039200249223210705,0.8686559551134915,0.0023059348788606565,0.8579884966214498,0.002545314348496626,0.9492476409079317,0.000883474015592373
mot_huge_1d-bs.512-ep.300,mot_huge_1d,1.0,3,42.666666666666664,3.0550504633038935,0.657553176199121,0.007414223134076828,0.8711281070745698,0.0020235191671622056,0.8695338368415833,0.0022388535550799953,0.9492670490758445,0.0009623753263569993,0.6414943362826809,0.006325496778123154,0.8653404743687835,0.004411844909973555,0.8528003692626953,0.004724190128448919,0.9500127518490181,0.0005843631337612549
mot_large-base_1d-bs.512-ep.300,mot_large_1d,0.001,3,44.0,0.0,4.127864264347814,0.0015905328780177431,0.17221159974506053,0.0019247506527140317,0.14326935509840646,0.0024547294362745084,0.37845761631612496,0.005853900575247945,4.156924745131135,0.0002047088855211301,0.1541698546289212,0.002129978715696265,0.1310323973496755,0.0013664306823064187,0.36291762305534303,0.005193933143181913
mot_large-base_1d-bs.512-ep.300,mot_large_1d,0.003,3,42.333333333333336,4.163331998932265,3.5887806198868955,0.007115337884209882,0.3135755258126195,0.001378795898839008,0.291713406642278,0.0001669382198357218,0.5775653282345443,0.003553182884580338,3.6221175267969397,0.006563260310056123,0.29035960214231066,0.003506178802567614,0.2652427057425181,0.0022263363411510703,0.5558530986993114,0.004259957431392505
mot_large-base_1d-bs.512-ep.300,mot_large_1d,0.01,3,46.333333333333336,1.5275252316519468,2.7703538591957457,0.0013043109705628767,0.45634161886551944,0.0011039202087755652,0.44252562522888184,0.0023974848641683537,0.7119184193753983,0.001962371487360159,2.8082951412186334,0.0015544826375055668,0.4302473858709513,0.0032982701240442626,0.40612199902534485,0.002985263383946815,0.692297883193063,0.0028712905506752123
