run_name,model_name,lr,num_seeds,best_epoch_mean,best_epoch_std,val_loss_mean,val_loss_std,val_top1_accuracy_mean,val_top1_accuracy_std,val_macro_accuracy_mean,val_macro_accuracy_std,val_top5_accuracy_mean,val_top5_accuracy_std,test_loss_mean,test_loss_std,test_top1_accuracy_mean,test_top1_accuracy_std,test_macro_accuracy_mean,test_macro_accuracy_std,test_top5_accuracy_mean,test_top5_accuracy_std
mot_huge-large_1d-bs.512-ep.300,mot_huge_1d,0.1,1,41.0,0.0,0.7938086806930046,0.0,0.8233269598470363,0.0,0.8216274976730347,0.0,0.9216061185468452,0.0,0.7778634039974431,0.0,0.8240244835501148,0.0,0.8128454685211182,0.0,0.9227237949502678,0.0
mot_huge-large_1d-bs.512-ep.300,mot_huge_1d,0.3,1,43.0,0.0,0.7918118471397269,0.0,0.8240917782026769,0.0,0.8221490979194641,0.0,0.9239005736137668,0.0,0.7670418076051859,0.0,0.8247895944912013,0.0,0.8131330013275146,0.0,0.9254016832440703,0.0
mot_huge-large_1d-bs.512-ep.300,mot_huge_1d,0.5,1,44.0,0.0,0.8749765487291616,0.0,0.8210325047801147,0.0,0.8199631571769714,0.0,0.9227533460803059,0.0,0.8497074735739255,0.0,0.8156082631981637,0.0,0.8043939471244812,0.0,0.9257842387146136,0.0
mot_huge-large_1d-bs.512-ep.300,mot_huge_1d,0.7,1,36.0,0.0,1.0570856944096931,0.0,0.8164435946462715,0.0,0.8145850896835327,0.0,0.9235181644359465,0.0,1.0289840960922183,0.0,0.8117827084927315,0.0,0.8003553748130798,0.0,0.9238714613618975,0.0
mot_huge-large_1d-bs.512-ep.300,mot_huge_1d,1.0,1,41.0,0.0,1.4106244132805965,0.0,0.8133843212237094,0.0,0.8121634125709534,0.0,0.9208413001912046,0.0,1.3667200784602964,0.0,0.8075745983167559,0.0,0.7944679856300354,0.0,0.923106350420811,0.0
mot_huge_1d-bs.512-ep.300,mot_huge_1d,0.1,1,41.0,0.0,0.5833447436301704,0.0,0.8738049713193117,0.0,0.8718826174736023,0.0,0.939961759082218,0.0,0.588960128790017,0.0,0.8653404743687835,0.0,0.8552855849266052,0.0,0.9429992348890589,0.0
mot_huge_1d-bs.512-ep.300,mot_huge_1d,0.3,1,45.0,0.0,0.5411319145508979,0.0,0.8803059273422562,0.0,0.8793887495994568,0.0,0.9476099426386233,0.0,0.5356052868586966,0.0,0.8703136954858455,0.0,0.8594539761543274,0.0,0.9502677888293802,0.0
mot_huge_1d-bs.512-ep.300,mot_huge_1d,0.5,1,34.0,0.0,0.5578176903223216,0.0,0.8760994263862333,0.0,0.875801682472229,0.0,0.9487571701720842,0.0,0.5503730022369128,0.0,0.8676358071920428,0.0,0.8566603064537048,0.0,0.9517980107115531,0.0
mot_huge_1d-bs.512-ep.300,mot_huge_1d,0.7,1,33.0,0.0,0.5898904147613117,0.0,0.875717017208413,0.0,0.8734656572341919,0.0,0.9495219885277246,0.0,0.5796542455881902,0.0,0.8657230298393267,0.0,0.853137195110321,0.0,0.9495026778882938,0.0
mot_huge_1d-bs.512-ep.300,mot_huge_1d,1.0,1,33.0,0.0,0.6650584306589276,0.0,0.8715105162523901,0.0,0.8693245053291321,0.0,0.9495219885277246,0.0,0.6546481613357649,0.0,0.8622800306044377,0.0,0.8499687910079956,0.0,0.9495026778882938,0.0
mot_large-base_1d-bs.512-ep.300,mot_large_1d,0.1,1,48.0,0.0,1.5180258114524827,0.0,0.664244741873805,0.0,0.6600745916366577,0.0,0.8439770554493308,0.0,1.56670878730663,0.0,0.6491966335118592,0.0,0.6320270895957947,0.0,0.8427697016067329,0.0
mot_large-base_1d-bs.512-ep.300,mot_large_1d,0.3,1,48.0,0.0,1.502179704888601,0.0,0.681453154875717,0.0,0.6785526871681213,0.0,0.8592734225621415,0.0,1.5644117062020686,0.0,0.6813312930374904,0.0,0.6672235131263733,0.0,0.8519510328997705,0.0
mot_large-base_1d-bs.512-ep.300,mot_large_1d,0.5,1,46.0,0.0,2.115722697095707,0.0,0.6795411089866157,0.0,0.679470419883728,0.0,0.8546845124282982,0.0,2.224265491862104,0.0,0.6713848508033665,0.0,0.6569453477859497,0.0,0.8530986993114001,0.0
mot_large-base_1d-bs.512-ep.300,mot_large_1d,0.7,1,46.0,0.0,2.8395752186529037,0.0,0.6760994263862332,0.0,0.6752054691314697,0.0,0.8543021032504781,0.0,2.9701016578586756,0.0,0.6767406273909717,0.0,0.6636762022972107,0.0,0.8492731446059678,0.0
